iter	RMSE
0	0.3794656686
1	0.36949466
2	0.359794277
3	0.3504762939
4	0.3410198985
5	0.332494707
6	0.3244385132
7	0.3167579764
8	0.3098924951
9	0.3024206145
10	0.2950312583
11	0.2881318075
12	0.2811740054
13	0.2747663388
14	0.2681580261
15	0.2623623105
16	0.2570183189
17	0.2518803913
18	0.2463634213
19	0.2414050836
20	0.2361389615
21	0.2314164736
22	0.2267187062
23	0.2224244964
24	0.2184106225
25	0.2146590895
26	0.210853094
27	0.2070071261
28	0.2037724092
29	0.2002929698
30	0.1970702171
31	0.1937221772
32	0.1906484747
33	0.1881393064
34	0.1854030211
35	0.1825853132
36	0.1798533567
37	0.1776426785
38	0.1751299864
39	0.1729447898
40	0.1704067119
41	0.1681633351
42	0.1659830459
43	0.1640454861
44	0.1621827231
45	0.1605505935
46	0.1587626778
47	0.1571237476
48	0.155527914
49	0.1540050953
50	0.1523907371
51	0.1508992679
52	0.1497093627
53	0.1484625568
54	0.1470410796
55	0.1459805181
56	0.14474437
57	0.1437288086
58	0.1427996367
59	0.1417134622
60	0.1405135357
61	0.1393832189
62	0.1384288333
63	0.137288307
64	0.1362981869
65	0.1354041782
66	0.1346740968
67	0.1337098552
68	0.1328637939
69	0.1319078473
70	0.1311934669
71	0.1305658241
72	0.129838222
73	0.1289699096
74	0.1283066962
75	0.1276191021
76	0.1270292671
77	0.1264374419
78	0.1259426295
79	0.1252579258
80	0.1246816932
81	0.1239043832
82	0.1231782484
83	0.122648585
84	0.1221339454
85	0.1214426426
86	0.1209071225
87	0.1203273302
88	0.1198242007
89	0.1193288041
90	0.1188842475
91	0.1183330797
92	0.1177701356
93	0.1174298615
94	0.1169402071
95	0.1165058621
96	0.1160625515
97	0.1155022717
98	0.1150449251
99	0.1146784051
100	0.1142093283
101	0.1137989002
102	0.1134475038
103	0.1130792249
104	0.1126596644
105	0.1123450872
106	0.1120147044
107	0.1116846631
108	0.1112770476
109	0.1109568047
110	0.1105567682
111	0.1101781039
112	0.1099026099
113	0.1095550079
114	0.1092422198
115	0.1088540453
116	0.108566157
117	0.1083172875
118	0.107968811
119	0.1077094687
120	0.1074888113
121	0.1072710816
122	0.1069265556
123	0.1065782896
124	0.1062510324
125	0.1060177832
126	0.1057968052
127	0.1054778795
128	0.105231832
129	0.1050265506
130	0.1047999929
131	0.1045001757
132	0.1041892519
133	0.1038528836
134	0.1037127952
135	0.103435206
136	0.1032369018
137	0.1030128796
138	0.1026799756
139	0.1024517277
140	0.1022511218
141	0.1020582128
142	0.1018674692
143	0.1016042071
144	0.1013251519
145	0.1010273086
146	0.100763501
147	0.1004782461
148	0.1002471806
149	0.1000296218
150	0.09970237124
151	0.09944648514
152	0.0991508151
153	0.0988457073
154	0.09863650688
155	0.09846218585
156	0.09819662693
157	0.09791204053
158	0.09769818631
159	0.09754672709
160	0.09723847522
161	0.09697670815
162	0.09676981095
163	0.09652909826
164	0.09632491329
165	0.09609363248
166	0.09586824803
167	0.09568735824
168	0.09558096924
169	0.09538793918
170	0.09518521782
171	0.09495072766
172	0.09464093435
173	0.09448040364
174	0.0942664705
175	0.09411950903
176	0.093846008
177	0.09360759715
178	0.0934409634
179	0.09327954443
180	0.09312085515
181	0.09282359961
182	0.09263077591
183	0.09256265721
184	0.09235721807
185	0.09228335833
186	0.09204755246
187	0.09184536365
188	0.09175521924
189	0.0916669525
190	0.09146857796
191	0.09123197895
192	0.09101473576
193	0.09094529099
194	0.09088499948
195	0.09082436856
196	0.09064020588
197	0.09055813779
198	0.09029057214
199	0.09012689154
200	0.09004154838
201	0.08983919765
202	0.0895684537
203	0.08946357165
204	0.08916215897
205	0.08894192545
206	0.08880241275
207	0.0886203469
208	0.0884031689
209	0.08822881926
210	0.08798688717
211	0.08781030776
212	0.08774495297
213	0.087543798
214	0.08731729094
215	0.08725919187
216	0.08707887568
217	0.08687515103
218	0.0866195746
219	0.0864230713
220	0.08637639314
221	0.08632133728
222	0.08610425762
223	0.08606047915
224	0.08584411204
225	0.08578936336
226	0.08574814068
227	0.08558209583
228	0.08553593831
229	0.085451193
230	0.08528436623
231	0.08510979674
232	0.08490159603
233	0.08486426574
234	0.08480726695
235	0.08464653213
236	0.08461225381
237	0.08457123306
238	0.08453919708
239	0.08444415126
240	0.08438054405
241	0.08429238078
242	0.0841665646
243	0.08411472567
244	0.08392157041
245	0.08379794039
246	0.08361086657
247	0.08346299159
248	0.08330002056
249	0.08313208335
250	0.08305922253
251	0.08295934869
252	0.0827690095
253	0.08273511473
254	0.08263117181
255	0.08247027038
256	0.08232025609
257	0.08216998738
258	0.0819884722
259	0.08182139197
260	0.08165140412
261	0.08142248308
262	0.08133158379
263	0.08125057225
264	0.08108327419
265	0.08092877557
266	0.08076853446
267	0.08063543607
268	0.08048132115
